                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.81655,                0.46522,                0.92704,                0.74604,                0.71847,                0.74589,                 0.4841,                 1.2285,                0.77427,                 1.1713,             0.00088618,             0.00088618,             0.00088618
                    149,                  0.819,                0.46517,                0.93213,                0.72373,                0.76814,                0.75628,                0.49312,                 1.2267,                0.77789,                 1.1611,              0.0008837,              0.0008837,              0.0008837
                    150,                0.81764,                   0.46,                0.92717,                0.74527,                0.74937,                0.75707,                0.48938,                 1.2459,                0.79626,                 1.1819,             0.00088122,             0.00088122,             0.00088122
                    151,                0.79964,                0.45806,                0.92233,                0.73704,                 0.7632,                0.76345,                0.49307,                 1.2125,                0.79357,                 1.1591,             0.00087875,             0.00087875,             0.00087875
                    152,                0.82219,                0.47306,                0.92523,                0.72703,                0.73249,                0.75887,                0.50647,                 1.2155,                0.75771,                 1.1635,             0.00087628,             0.00087628,             0.00087628
                    153,                0.80721,                0.47034,                0.92605,                0.70976,                0.76523,                0.76295,                0.49886,                 1.2197,                0.76597,                 1.1692,              0.0008738,              0.0008738,              0.0008738
                    154,                0.79753,                0.45545,                0.91997,                0.73471,                 0.7348,                0.73395,                  0.484,                 1.2226,                0.78209,                 1.1659,             0.00087132,             0.00087132,             0.00087132
                    155,                0.79828,                0.46544,                0.92116,                0.79503,                0.68642,                0.74778,                0.48508,                 1.2414,                0.77224,                 1.1843,             0.00086885,             0.00086885,             0.00086885
                    156,                0.79945,                0.45966,                0.92009,                 0.7009,                0.78026,                0.76474,                0.48935,                 1.2404,                0.79065,                 1.1783,             0.00086637,             0.00086637,             0.00086637
                    157,                 0.7987,                0.46557,                 0.9237,                0.76075,                 0.7076,                0.76052,                0.49762,                 1.2404,                0.79251,                  1.182,              0.0008639,              0.0008639,              0.0008639
                    158,                0.79882,                0.44897,                0.91717,                0.75228,                0.69662,                0.74772,                0.49082,                 1.2536,                0.80611,                 1.1824,             0.00086142,             0.00086142,             0.00086142
                    159,                 0.7919,                 0.4485,                0.92148,                0.77106,                0.70454,                 0.7494,                0.49972,                 1.2314,                0.77089,                 1.1786,             0.00085895,             0.00085895,             0.00085895
                    160,                0.79219,                0.45384,                0.91932,                0.73142,                0.75147,                0.74489,                0.49126,                 1.2304,                0.77185,                 1.1801,             0.00085647,             0.00085647,             0.00085647
                    161,                0.79007,                0.45107,                0.91688,                0.68747,                0.76205,                0.74246,                0.49896,                 1.2275,                0.76402,                 1.1715,               0.000854,               0.000854,               0.000854
                    162,                 0.7848,                0.44693,                0.91438,                0.72405,                0.76157,                0.74146,                0.49263,                 1.2418,                0.79209,                 1.1808,             0.00085152,             0.00085152,             0.00085152
                    163,                0.79121,                 0.4463,                0.91505,                0.75948,                0.75281,                0.75523,                0.49082,                 1.2402,                0.78043,                 1.1857,             0.00084905,             0.00084905,             0.00084905
                    164,                0.78139,                  0.441,                0.91393,                0.69459,                0.81668,                0.75182,                0.49093,                  1.238,                0.77721,                 1.1899,             0.00084658,             0.00084658,             0.00084658
                    165,                0.77595,                0.44269,                 0.9137,                0.71137,                0.77958,                0.74964,                0.49455,                 1.2292,                0.77701,                 1.1828,              0.0008441,              0.0008441,              0.0008441
                    166,                0.76712,                0.43939,                0.90713,                0.73579,                0.76344,                0.76381,                0.49157,                 1.2558,                0.81084,                 1.1973,             0.00084162,             0.00084162,             0.00084162
                    167,                0.76561,                0.43451,                0.90505,                0.69195,                0.76588,                0.74598,                0.49202,                 1.2324,                0.77467,                 1.1814,             0.00083915,             0.00083915,             0.00083915
